Good  Price  BaseQty  Desc
'Bulk Goods
ALUM  200  TON
BRASS  300  TON
BRONZE 350  TON
WOOD  1  TON
CHARCOAL  2  TON
COAL  3  TON
COPPER  200  TON
COTTON  50  TON
FISH  75  TON
FLAX  45  TON
FOODSTUFFS  10  TON
FURS  50  TON
GRAIN  5  TON
HEMP  20  TON
IRON  120  TON
LEAD  60  TON
OIL  10  TON
PITCH  2  TON
POTASH  20  TON
PEARLASH  400  TON
SALT  120  TON
RAWSILK  500  TON
SKINS  25  TON
TIMBER  5  TON
TIN  250  TON
WAX  5  TON
WINE  10  TON
WOOL  50  TON

'Manufactured Goods
CERAMICS  70  TON
COTTONCLOTH  200  TON
GLASS  1500  TON
IRONWARE  250  TON
LEATHER  250  TON
LINEN  175  TON
PAPER  150  TON
PEWTER  750  TON
TAPESTRIES  3000  TON
EMBROIDERIES  2000  TON

'Luxury Goods
DYES  50  TON
INK  10  TON
RAREFURS  250  TON
GOLD  10  OZ
HORSES  4  OZ
IVORY  5  OZ
PEARLS  2  OZ
SAFFRON  25000  TON
SILKCLOTH  25000  TON
SILVER  1  OZ
SLAVES  5  EA
SOAP  1  TON
SPICES  50  TON
WEAPONS  500  TON

'Gemstones and things
GEMSTONES  2  OZ
DIAMOND  2  OZ
SAPHHIRE  2.5  OZ
RUBY  2.2  OZ
EMERALD 2.8  OZ
AMBER  16  OZ
AMETHYST  1.6  OZ
CATSEYE  1  OZ
GARNET 0.8  OZ
MOONSTONE 0.5  OZ
PERIDOT  2  OZ
TIGERSEYE  0.5  OZ
